title,content
Qiddiya,"Qiddiya will be the future capital of entertainment, sports, and culture in Saudi Arabia. It will feature a wide range of parks, performing arts centers, sports arenas, and major ongoing developments, offering exciting and unique experiences for visitors from inside and outside the Kingdom. King Salman bin Abdulaziz inaugurated the Qiddiya project in 2018 to transform it into a global center for entertainment, sports, and culture. Construction began the following year to build international sports stadiums, concert halls, luxury entertainment venues, academies for sports and arts, racing circuits, adventure and thrill zones, and family-friendly amusement parks — including the famous Six Flags park, which will feature the world’s tallest and fastest roller coaster. With 67% of Saudis under the age of 35, Qiddiya aims to provide Saudi youth with new opportunities for recreation, creativity, and fun as a world-class tourism destination in the heart of Riyadh. The project will create numerous jobs, help build a more vibrant society, and boost domestic tourism revenues. \n\nQiddiya Investment Company (QIC), one of the Public Investment Fund’s companies, is a pioneering national project that plays an exceptional role in achieving Saudi Vision 2030. It invests in the concept of the Power of Play to create new opportunities that empower individuals and enhance quality of life. QIC believes in the power and impact of play as a key factor in achieving sustainable development. \n\nSurvey Insights: \n• Happiness: 77% of participants in Saudi Arabia believe they would be happier if they played more. \n• Relaxation: 77% think they would feel less stressed if they played more. \n• Progress: 65% believe they would be more successful at work if they played more. \n• Creativity: 77% believe they would be more innovative if they played more. \n• Harmony: 69% believe they would be friendlier and more cooperative with friends and family if they played more. \n\nThe Six Powers of Play have a profound effect on the mind and body. Play enhances cognitive development, boosts happiness, and improves quality of life. \n\nCore Values of Play at Qiddiya: \n• Growth: Play is a lifestyle that develops skills and drives achievements — summarized in the motto “Play Lives in Us.” \n• Creativity: Play sparks imagination and makes every activity enjoyable. \n• Imagination: Through play, we explore new possibilities and create innovative solutions. \n• Connection: Play builds empathy, friendship, and teamwork. \n• Development: Play expands our minds and enhances brain growth, fostering maturity. \n• Renewal: Play restores physical and mental energy, reduces stress, and improves overall well-being."
ROSHN,"ROSHN Group develops large-scale projects across Saudi Arabia that are reshaping the urban landscape through the creation of vibrant, fully integrated destinations. These projects offer rich experiences that strengthen the human connection with place and enhance quality of life. As a Public Investment Fund company, ROSHN provides integrated real estate and housing solutions aligned with national objectives to increase housing supply, raise the standard of real estate development, and meet the growing housing demand in the Kingdom. \n\nROSHN’s projects contribute to the development of sustainable residential communities throughout Saudi Arabia, offering diverse housing options and helping to raise the rate of Saudi homeownership to 70% by 2030. The projects also enhance quality of life through improved infrastructure, green public spaces, and support for cultural, environmental, social, and sports initiatives that create lively communities. \n\nThese initiatives drive economic diversification and growth by empowering the private sector, enhancing local content, and increasing the contribution of the non-oil sector to GDP. \n\nROSHN’s real estate portfolio includes a diverse set of assets such as integrated residential and mixed-use communities, commercial properties (offices and hotels), as well as supporting assets like educational and healthcare facilities and mosques. It also invests in transportation, logistics, sports, and entertainment sectors. \n\nExpanding on its major projects, ROSHN is implementing an ambitious strategy to grow in multiple sectors, especially retail. Its ROSHN Front is a premier entertainment and shopping destination. \n\nThe company is also investing in the rapidly growing sports sector through the construction of ROSHN Stadium in southwest Riyadh and the development of Aramco Stadium in Al Khobar, in collaboration with Aramco — both of which will be among the selected venues for the 2034 FIFA World Cup."
Riyadh Art,"Riyadh Art offers a vibrant world that nurtures creativity. This innovative project transforms Riyadh into an open-air art gallery showcasing works from talented local and international artists while stimulating the creative economy in Saudi Arabia. \n\nLaunched in 2019 by King Salman bin Abdulaziz, Riyadh Art aims to inspire creativity and elevate Riyadh’s status as a world-class global city. \n\nWith artworks displayed across neighborhoods, parks, public facilities, transportation hubs, and tourist landmarks, Riyadh becomes a living canvas that reflects the Kingdom’s artistic spirit. \n\nRiyadh Art turns the capital into a citywide gallery that promotes creative expression, enriches the lives of its residents and visitors, spreads joy, and instills pride — making Riyadh a more beautiful, livable, and globally attractive city that draws international investments and creative industries. \n\nThe program invites everyone to explore this creative landscape and discover Saudi Arabia’s rich cultural heritage. It is one of the initiatives under Saudi Vision 2030 aimed at fostering creativity and the arts, making Riyadh a hub for art lovers worldwide. \n\nArt for All: Since its 2019 launch as one of Vision 2030’s four major projects, Riyadh Art has showcased over 500 artworks by local and international artists, organized more than 6,000 community engagement programs, and attracted over 6 million visitors. As the initiative continues to expand, its projects further strengthen Riyadh’s position as a global capital of art."
Saudi Sports Track,"The Sports Boulevard inspires residents and visitors of Riyadh to adopt a healthy lifestyle by offering opportunities to participate in various sports such as walking, cycling, and horseback riding — blending sports with cultural and entertainment activities. \n\nLaunched in 2019 by King Salman bin Abdulaziz Al Saud, the Sports Boulevard is one of the most important Saudi Vision 2030 projects. It aims to elevate Riyadh’s global ranking, encourage citizens to engage in physical activity, and promote a healthy lifestyle that integrates sports with cultural, artistic, and environmental interests — transforming Riyadh into a modern, vibrant destination for all aspects of life and a bridge to an urban future that enhances quality of life, one of Vision 2030’s main goals. \n\nStretching across Riyadh, the Sports Boulevard connects Wadi Hanifa in the west to Wadi Al Sulai in the east along Prince Mohammed bin Salman Road, spanning more than 135 kilometers, making it the world’s largest linear park. It includes pathways for pedestrians, professional and amateur cyclists, equestrian trails, and other sports facilities. Its unified architectural design reflects the distinct urban code of the Sports Boulevard. \n\nVision: To create an innovative and sustainable urban renaissance that serves as an environmental artery connecting Riyadh, enabling the practice of various sports, and improving quality of life in line with Vision 2030. \n\nMission: To establish a healthy, athletic environment that inspires Riyadh’s residents and visitors to embrace an active and healthy lifestyle."
Mohammed bin Salman Nonprofit City,"Prince Mohammed bin Salman Nonprofit City — “Misk City” is the world’s first nonprofit city. It is designed to be the home of the Mohammed bin Salman Foundation (Misk) and its affiliated organizations. The city aims to build a vibrant, sustainable community that attracts residents and visitors through an innovative ecosystem supporting Misk’s mission. Centered around people — particularly youth — Misk City is a cultural and creative destination that nurtures young minds to live, learn, and innovate toward a brighter future. \n\nMisk City combines business offices, educational institutions, art spaces, sports parks, and entertainment experiences, alongside residential units and hotels forming an integrated urban complex. \n\nThe city continues the legacy of the Misk Foundation’s 13 years of impact, creating a dynamic ecosystem that empowers youth and develops their skills through programs, initiatives, workshops, and diverse events. It also supports entrepreneurs by fostering innovative ideas, developing projects, and offering funding and mentorship — enabling creativity and sustainable social development. \n\nDiscover how Vision 2030 fosters social progress and youth empowerment by developing the nonprofit sector, meeting community needs, and preparing Saudi youth for the future."
Downtown Saudi,"Saudi Downtown Company (SDC) aims to enhance quality of life and stimulate economic activity through the development of urban centers across 12 cities in Saudi Arabia. \n\nLaunched in 2022 by His Royal Highness Crown Prince Mohammed bin Salman, SDC is wholly owned by the Public Investment Fund (PIF) and aligns with the Fund’s strategy to boost commercial growth and create investment opportunities for individuals and businesses. \n\nBy developing mixed-use urban centers and destinations in 12 cities, the company contributes to supporting promising sectors and strengthening their role in diversifying the national economy and growing the non-oil GDP. \n\nSDC’s vision is to transform Saudi cities into vibrant, attractive places to live and work. It strives to unlock the potential of these cities by fostering growth, enabling entrepreneurs and local businesses, and creating diverse opportunities that drive innovation and community development. \n\nDiscover how Saudi Vision 2030 is transforming Saudi cities through sustainable urban development and building a brighter, more prosperous future."
Saudi Genome Program,"The Saudi Genome Program opens a new path in the healthcare sector by creating a database to document the first genetic map of Saudi society, aiming to enable and develop healthcare, reduce costs, and improve the overall quality of life.
Launched by His Royal Highness Crown Prince Mohammed bin Salman Al Saud in 2018, the program is a pioneering national initiative that harnesses advanced genome technologies to effectively reduce the spread of genetic diseases. It leads progress in healthcare by improving diagnosis, treatment, and prevention.
The first phase of the Saudi Human Genome Project strategy, revealed in 2022, outlined an ambitious roadmap to position Saudi Arabia as a global leader in genomics and genetic disease prevention in the Middle East and North Africa. The goal is to ensure that genomics plays a vital role in delivering high-quality healthcare to all citizens, contributing to a comprehensive transformation of healthcare in innovative ways.
The program aligns with Vision 2030 and the Health Sector Transformation Program, which prioritize prevention, public health, innovation, and sustainability. It promotes digital health solutions, enhances service quality, and transforms the healthcare system to be more comprehensive and integrated.
Through collaboration with government entities and health institutions, the program successfully contributed to combating the COVID-19 pandemic by leveraging technology, correct prevention protocols, and improved accessibility to health services — making the Kingdom a global model in crisis management.
The digital health transformation enables surgeons thousands of miles away to supervise operations and patients to receive prescriptions remotely, placing Saudi Arabia among the global leaders in technology-driven healthcare.
In 2022, the Virtual Health Hospital — the world’s largest of its kind — was launched, connecting over 150 hospitals and offering more than 30 specialized medical services across the Kingdom.
The program continues to promote public health, disease prevention, and accessible, high-quality healthcare everywhere."
New Murabba,"The New Murabba Project redefines Riyadh’s skyline with a modern and advanced urban district, serving as a gateway to a new world of wonder.
Launched by His Royal Highness Crown Prince Mohammed bin Salman in 2023, the project spans 19 square kilometers and offers a unique lifestyle, work, and entertainment experience.
The New Murabba Development Company will develop over 25 million square meters of land to include residential units, hotels, commercial and office spaces, entertainment centers, and community facilities.
The project represents a leap in comfort and flexibility, with an internal transport system and a prime location only 20 minutes from the airport.
At its heart lies The Mukaab, an extraordinary architectural marvel and the largest structure of its kind in the world. Inspired by the Najdi architectural style, it integrates cutting-edge technologies and immersive digital displays, creating an unparalleled experience.
The New Murabba is one of the ambitious initiatives of the Public Investment Fund, designed to redefine urban development and create promising new sectors."
NEOM,"Welcome to the futuristic city NEOM, transforming the Red Sea coast in northwest Saudi Arabia into a one-of-a-kind destination.
Launched in 2017 by His Royal Highness Crown Prince Mohammed bin Salman, NEOM is an ambitious project led by the Public Investment Fund to turn the desert into a smart, sustainable city powered entirely by renewable energy.
NEOM envisions a new model for sustainable living, work, and prosperity where humanity can progress without harming the planet.
The project includes major developments such as The Line, Oxagon, Trojena, and Sindalah, forming key components of NEOM’s vision.
NEOM represents Saudi Arabia’s commitment under Vision 2030 to a sustainable, technologically advanced future that harmonizes innovation and environmental preservation."
The Line,"The Line will revolutionize urban development by placing humans at the center of its design and offering an unprecedented living experience while preserving the surrounding nature.
Announced by His Royal Highness Crown Prince Mohammed bin Salman in 2021, The Line introduces a new model of human-centered urban living — fully powered by 100% renewable energy and preserving 95% of NEOM’s natural landscape.
The futuristic city will be 200 meters wide, 170 kilometers long, and 500 meters above sea level, hosting 9 million residents within only 34 square kilometers — achieving exceptional efficiency and minimal environmental impact.
There will be no cars or streets; all transportation and infrastructure will serve humans, not the other way around. A high-speed rail system will connect both ends of the city in just 20 minutes.
The Line will redefine how cities of the future are built, offering a sustainable and interconnected lifestyle in harmony with nature."
